RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
89,15757653,Martin,694,France,Female,43,2,134749.01,1,1,0,7442.97,0
90,15773756,Dogan,576,Spain,Female,28,6,142745.16,1,0,1,33131.37,0
91,15674500,Aydin,671,Spain,Male,27,5,115828.67,1,0,1,118695.33,0
92,15766883,Rossi,665,France,Male,55,6,59842.74,1,0,1,36549.13,1
93,15776114,Romano,469,Spain,Female,36,4,145180.36,1,1,0,28974.26,0
94,15662566,Dogan,658,Spain,Male,22,3,116712.15,2,1,0,168520.87,0
95,15790213,Howells,699,Germany,Female,44,0,132495.79,1,1,1,116398.17,0
96,15637779,Onio,711,Spain,Female,25,6,0.0,2,1,0,187885.13,0
97,15625587,Conti,661,France,Male,43,5,53200.3,1,1,0,151450.28,0
98,15736317,Aydin,460,France,Male,34,1,107087.9,1,0,1,62231.41,0
99,15724884,Muller,773,Spain,Male,39,1,95208.17,1,0,0,115638.61,0
100,15600637,Rossi,689,France,Male,27,8,126228.68,2,1,0,66559.85,0
101,15773876,Howells,534,France,Female,33,9,133746.86,2,1,0,3852.01,0
102,15615675,Dogan,574,France,Male,32,3,184640.56,1,1,0,87175.79,0
103,15766916,Pirozzi,672,France,Male,28,10,0.0,1,1,1,193832.67,0
104,15567541,Martin,715,France,Male,33,6,103188.1,2,1,0,159500.22,0
105,15764902,Taylor,603,France,Male,19,6,107311.96,2,1,0,1582.11,0
106,15762423,Ferri,729,Spain,Male,47,10,135470.37,2,0,0,71003.12,1
107,15760783,Hooper,478,France,Male,47,6,0.0,2,0,1,137425.8,0
108,15731906,Celik,550,Spain,Female,34,5,82627.61,1,1,0,135707.92,0
109,15683587,Chien,452,France,Male,34,1,0.0,2,1,1,48673.84,0
110,15741984,Howells,564,France,Male,33,5,0.0,2,1,1,80538.03,0
111,15634978,Chien,795,Spain,Male,47,3,0.0,1,1,0,147082.63,0
112,15760874,Smith,848,France,Female,31,1,0.0,2,0,0,190166.2,0
113,15704606,Demir,673,France,Female,51,5,126753.22,1,1,0,64743.5,0
114,15680424,Chien,589,Spain,Male,24,0,114108.02,1,1,1,18882.74,0
115,15692097,Weber,629,France,Female,51,10,127303.37,2,1,1,125844.36,0
116,15707880,Chien,695,France,Female,18,10,139600.13,1,1,1,83564.35,0
117,15575016,Rossi,500,Spain,Female,33,7,0.0,3,1,1,114557.71,1
118,15600648,Bianchi,595,France,Female,48,9,139644.34,1,1,1,58743.18,0
119,15627068,Hsia,788,Germany,Female,50,9,85649.37,2,1,0,118872.94,1
120,15594332,Demir,550,France,Male,24,8,0.0,1,0,1,30964.03,0
121,15675599,Ferri,578,France,Male,44,1,86328.87,1,0,0,11740.11,1
122,15732794,Aydin,651,France,Female,42,10,131691.51,2,1,1,172171.08,0
123,15729301,Weber,677,Germany,Male,45,2,113793.36,1,1,0,6052.4,1
124,15683469,Aydin,590,France,Male,78,1,0.0,2,1,0,78530.08,0
125,15779461,Lombardo,657,Spain,Female,81,9,131375.57,2,1,1,82618.27,0
126,15707003,Jones,708,Spain,Female,55,8,0.0,1,1,1,93860.46,0
127,15585499,Wilson,838,Germany,Male,28,6,161411.56,2,1,0,188014.37,1
128,15756942,Yildiz,638,France,Female,32,1,100252.73,2,0,1,77018.78,0
129,15709344,Arslan,646,Germany,Male,40,3,131991.21,2,0,1,126702.76,0
130,15724373,Lombardo,797,Germany,Female,33,6,138233.29,1,1,0,94940.8,0
131,15707038,Brown,597,France,Female,28,7,190601.52,2,0,0,130567.48,0
132,15704089,Hsia,523,Spain,Female,51,7,0.0,2,1,1,195027.81,0
133,15588341,Rossi,674,France,Female,24,2,85492.01,2,1,0,182326.91,0
134,15705496,Bianchi,753,Spain,Female,18,7,161232.71,2,1,0,184006.59,0
135,15764420,Kaya,685,Spain,Female,47,1,106703.85,2,1,1,160085.49,0
136,15641685,Miller,641,France,Male,46,2,94168.38,2,1,1,127362.11,0
137,15716403,Davis,511,France,Male,22,0,159795.61,1,1,0,124146.97,0
138,15573405,Brown,644,Germany,Male,22,9,123976.88,1,0,1,117792.15,0
139,15652571,Dogan,768,Germany,Male,37,4,114018.34,2,1,0,41738.93,0
140,15674875,Hsia,532,Spain,Female,41,6,170577.14,1,1,0,160446.42,0
141,15811374,Davis,627,France,Male,33,0,104620.76,1,1,0,138506.75,0
142,15619344,Brown,613,Germany,Female,31,10,104403.76,1,1,0,134736.83,0
143,15634835,Martin,583,Spain,Male,36,4,134896.87,1,1,0,139894.51,0
144,15667828,Garcia,674,Spain,Male,45,4,52289.3,2,1,1,142415.15,0
145,15813856,Dogan,693,France,Male,22,3,124833.62,2,1,1,32557.32,0
146,15779042,Moore,692,Spain,Male,38,3,122385.54,2,1,1,178568.33,0
147,15574373,Greco,556,France,Male,28,3,94386.26,1,1,0,39655.35,0
148,15624183,Hsia,492,Germany,Female,74,9,0.0,2,0,1,126648.08,1
149,15771110,Romano,675,France,Male,39,0,0.0,2,1,1,99961.08,0
150,15580276,Rossi,601,Germany,Female,59,8,0.0,1,0,0,43050.92,1
151,15779609,Bianchi,826,France,Male,45,2,144488.53,2,0,0,182126.85,1
152,15636043,Arslan,831,France,Female,66,0,128096.52,1,1,0,78454.15,1
153,15795103,Davis,841,France,Female,36,9,0.0,2,0,0,163791.86,0
154,15639096,Taylor,560,Spain,Male,38,4,141042.17,2,1,0,80395.23,0
155,15674275,Moore,705,Germany,Male,34,9,128051.64,1,0,1,185396.72,0
156,15731172,Yildiz,734,Germany,Female,29,0,0.0,1,1,1,5894.34,0
157,15597269,Celik,723,Germany,Female,23,0,0.0,2,1,0,179127.35,0
158,15704952,Garcia,616,France,Male,41,9,0.0,2,1,0,186901.24,0
159,15691949,Lombardo,773,France,Female,50,2,68418.07,2,1,1,169178.33,0
160,15761666,Weber,650,France,Male,22,5,99661.05,1,0,0,114332.92,0
161,15814716,Onio,662,France,Male,35,1,58736.61,2,1,0,197403.92,0
162,15731772,Aydin,502,Spain,Male,31,2,139951.9,1,1,0,65674.31,0
163,15667993,Martin,712,France,Female,58,6,111271.77,1,1,1,137656.27,1
164,15667293,Romano,625,Germany,Male,26,0,0.0,1,0,0,113755.7,0
165,15670186,Wilson,695,Spain,Male,37,8,137939.68,2,1,1,33823.5,1
166,15769197,Martin,673,Spain,Male,47,3,0.0,2,1,1,116959.8,0
167,15646001,Miller,667,France,Male,28,10,131823.32,2,0,0,79143.67,0
168,15607442,Demir,646,Spain,Male,37,4,112015.46,1,0,1,27259.85,0
169,15649270,Kent,726,Germany,Male,51,7,0.0,2,1,0,60745.53,0
170,15571378,Greco,631,Germany,Female,27,10,0.0,1,0,1,595.97,1
171,15592235,Sahin,510,Spain,Female,45,7,147447.76,1,0,0,196621.64,0
172,15588211,Martin,705,France,Male,21,10,0.0,3,1,0,4210.92,0
173,15758580,Hsia,572,Spain,Male,35,7,130327.68,1,1,1,91710.95,0
174,15746282,Cameron,523,Germany,Male,53,5,65707.61,1,1,1,6105.35,0
175,15739886,Rossi,552,Spain,Female,46,10,99468.06,2,1,0,87359.8,0
176,15681165,Martin,677,Spain,Male,54,10,71537.53,2,0,1,136574.31,0
177,15744957,Wagner,641,Germany,Female,18,10,147558.58,1,1,1,117609.88,0
178,15606017,Greco,445,France,Male,18,8,0.0,2,1,1,104879.79,0
179,15790846,Onio,613,France,Female,36,1,157783.61,3,1,1,26525.86,1
180,15690956,Brown,762,Spain,Female,28,8,151136.64,2,1,0,97947.48,0
181,15800203,Howells,607,Germany,Female,36,2,0.0,2,1,0,35317.14,1
182,15603777,Martin,634,Spain,Male,51,2,172374.04,1,1,1,105401.03,0
183,15690028,Yilmaz,750,France,Male,61,8,148779.08,2,0,0,63160.44,1
184,15739773,Hooper,726,Germany,Male,70,8,122443.31,2,0,1,94334.43,0
185,15689602,Onio,748,Spain,Female,32,0,133045.46,1,0,0,34898.61,0
186,15677235,Garcia,384,Spain,Male,20,10,0.0,2,1,0,55621.26,0
187,15607252,Moore,816,France,Female,21,7,133427.14,2,1,0,118964.81,0
188,15660952,Miller,711,France,Female,18,9,100018.56,1,1,1,46697.58,0
189,15625389,Celik,850,Spain,Female,24,9,0.0,2,1,1,101324.19,0
190,15641075,Rossi,575,Spain,Male,50,5,112061.1,1,0,1,180771.07,0
191,15736618,Yilmaz,481,France,Male,43,3,99576.89,1,1,1,124.58,0
192,15723264,Ferri,651,Germany,Female,61,0,126125.75,1,1,0,142288.02,1
193,15717493,Yilmaz,624,France,Female,44,7,104543.96,2,1,1,121468.79,0
194,15656150,Fischer,713,France,Female,36,4,108493.82,2,1,0,191825.2,0
195,15805613,Lombardo,753,France,Male,32,4,0.0,2,1,1,195736.48,0
196,15587612,Muller,642,France,Female,58,7,169678.57,1,1,1,163042.04,0
197,15651344,Bianchi,627,Spain,Male,18,4,96677.6,2,0,1,170854.89,0
198,15595201,Onio,700,France,Female,24,1,109225.76,2,1,0,117197.75,1
199,15650433,Conti,625,Spain,Male,46,9,113103.67,1,1,0,82085.76,1
200,15806164,Kent,617,France,Male,33,4,129413.49,1,1,1,141059.25,0
201,15657262,Dogan,750,France,Female,49,7,0.0,1,1,1,32597.53,1
202,15792836,Ferri,771,France,Male,47,7,104771.84,2,1,1,138474.85,0
203,15689461,Howells,754,France,Female,45,2,135293.63,1,1,1,116848.26,0
204,15740620,Brown,634,Germany,Male,45,9,0.0,2,0,0,36531.9,0
205,15680050,Fischer,445,Spain,Female,51,10,108798.62,2,1,0,65033.02,1
206,15632165,Yilmaz,636,Spain,Male,51,7,92726.78,1,0,1,38830.33,1
207,15756749,Pirozzi,577,Spain,Male,37,9,151063.89,2,1,0,30697.17,0
208,15807984,Bianchi,638,Spain,Male,34,6,147267.12,1,1,0,78641.57,0
209,15631579,Wagner,586,Spain,Female,42,3,130402.31,1,0,1,183428.67,0
210,15760380,Onio,648,Germany,Female,55,2,139888.03,1,1,1,38659.91,0
211,15630983,Arslan,550,Germany,Male,28,10,153255.43,2,1,0,20928.77,0
212,15744915,Moore,527,France,Male,35,7,0.0,2,0,0,192844.93,1
213,15762943,Kent,767,France,Male,18,5,141834.91,1,0,0,91281.31,0
214,15678036,Aydin,557,Germany,Female,31,9,107132.59,2,1,1,60821.42,0
215,15749922,Howells,650,Germany,Female,27,6,0.0,1,0,1,124678.89,0
216,15633758,Brown,742,France,Female,32,4,96284.74,2,1,0,179603.45,0
217,15585513,Romano,738,Spain,Male,23,0,185848.26,2,1,0,162853.69,0
218,15589797,Hsia,726,France,Male,22,9,112878.57,1,1,1,43829.46,0
219,15677452,Fischer,679,Germany,Male,63,0,168020.73,2,1,0,119944.5,1
220,15791341,Onio,720,Spain,Female,26,3,136245.45,2,1,1,85231.46,0
221,15597593,Garcia,782,France,Female,45,6,119100.9,1,1,0,126957.12,0
222,15679640,Aydin,691,Spain,Male,70,6,92931.37,1,1,0,24564.03,1
223,15741701,Martin,474,Spain,Female,54,7,0.0,2,0,1,167368.94,0
224,15616289,Bianchi,599,Germany,Female,45,9,116047.67,2,1,1,162568.14,0
225,15746097,Hooper,717,Spain,Male,47,5,115961.72,3,1,1,122426.12,1
226,15642186,Hooper,590,Germany,Male,31,9,0.0,1,1,1,18962.02,0
227,15767857,Garcia,806,France,Female,54,6,99649.88,2,1,0,180671.08,0
228,15710499,Greco,644,Germany,Female,65,5,100745.66,2,1,0,138525.02,1
229,15702421,Sahin,658,France,Male,33,4,146173.02,1,1,1,60711.63,0
230,15609892,Celik,758,France,Male,22,5,176958.03,1,1,0,127007.06,0
231,15681497,Yilmaz,632,France,Male,50,5,122564.49,2,1,1,93026.98,0
232,15779845,Greco,667,France,Female,77,10,133303.36,1,1,1,129794.57,1
233,15570581,Ozturk,736,Spain,Male,27,1,115597.94,1,1,0,115233.36,0
234,15755322,Bianchi,509,Spain,Male,18,5,0.0,1,1,1,43050.33,0
235,15688886,Howells,623,Spain,Male,35,1,113646.88,2,0,1,92062.88,0
236,15745558,Hooper,730,France,Female,31,0,0.0,3,0,0,107870.22,1
237,15731518,Greco,656,Germany,Male,40,5,0.0,1,1,1,94062.04,0
238,15673719,Demir,791,Germany,Male,29,5,138509.56,1,1,0,108401.86,0
239,15642864,Martin,499,France,Male,35,3,112683.05,1,1,0,8682.07,0
240,15722521,Hsia,488,Germany,Female,26,6,102772.92,2,1,1,177992.07,0
241,15600755,Fischer,724,France,Female,18,0,105682.86,2,1,0,77756.02,0
242,15711719,Bianchi,733,Spain,Female,36,8,139551.36,2,0,1,132771.84,0
243,15589373,Ferri,631,France,Male,46,4,95927.72,2,1,0,116856.74,0
244,15728155,Jones,688,Spain,Male,24,0,0.0,2,1,1,182552.87,0
245,15722880,Celik,722,Spain,Male,73,10,128469.81,2,1,0,169792.96,0
246,15586811,Wilson,572,Germany,Female,44,6,0.0,2,1,1,154131.66,0
247,15755064,Smith,582,France,Female,31,5,115829.03,2,1,1,113100.65,0
248,15669648,Ferri,668,France,Male,57,6,145000.16,1,1,0,102901.97,0
249,15762413,Cameron,737,Spain,Male,51,6,0.0,1,1,1,69500.52,0
250,15576104,Ferri,538,France,Male,46,7,100357.64,2,0,0,68884.13,0
251,15610563,Romano,631,France,Female,39,7,125122.55,2,1,0,33220.99,0
252,15689193,Kaya,627,Spain,Male,32,2,100434.55,1,0,1,70391.78,0
253,15612755,Muller,690,Spain,Male,42,7,0.0,1,1,1,155906.69,0
254,15648162,Wilson,649,Germany,Male,39,8,120674.49,1,1,0,112512.63,1
255,15730843,Celik,598,France,Male,56,1,89140.18,2,1,0,95671.73,0
256,15601830,Arslan,770,France,Male,45,8,0.0,1,1,1,166372.93,0
257,15735119,Cameron,598,Spain,Female,34,3,96148.2,1,1,0,133290.75,0
258,15591550,Lombardo,622,France,Female,33,1,150823.62,2,1,1,84814.85,0
259,15609495,Hsia,497,France,Male,29,7,117034.98,1,0,1,32289.77,0
260,15712605,Rossi,581,France,Male,40,8,138887.6,2,0,1,192081.38,0
261,15764063,Ozturk,700,Germany,Female,32,6,101454.49,1,0,0,46083.29,1
262,15608347,Brown,681,France,Female,24,6,0.0,2,1,0,148767.98,0
263,15640695,Greco,708,Spain,Female,49,4,0.0,2,0,1,4210.72,0
264,15796970,Ozturk,703,France,Female,31,4,115280.18,1,0,1,155944.44,0
265,15813111,Schmidt,850,France,Female,34,3,93246.82,1,1,0,142092.66,0
266,15710959,Arslan,578,Spain,Female,60,8,0.0,1,1,1,127732.6,0
267,15677455,Garcia,495,Spain,Male,52,5,128476.37,1,1,0,46001.49,0
268,15652414,Taylor,549,Germany,Male,44,1,87747.24,2,0,1,179233.69,0
269,15718807,Miller,582,Spain,Male,40,2,0.0,1,0,1,70934.29,0
270,15713423,Kent,556,France,Female,64,3,95402.46,1,0,0,54219.91,1
271,15639386,Conti,659,France,Female,35,8,0.0,2,0,0,28653.59,0
272,15571401,Hsia,770,France,Female,29,9,106449.45,2,0,0,110489.84,0
273,15603573,Chien,798,France,Male,56,1,112878.18,1,1,1,156178.16,0
274,15805330,Demir,698,Spain,Male,44,1,77427.03,1,1,0,37150.49,0
275,15670235,Dogan,850,Spain,Female,27,5,107525.51,2,0,0,98016.13,0
276,15686271,Kaya,616,France,Female,44,10,0.0,1,1,0,178821.02,0
277,15682472,Kent,493,France,Female,22,3,171723.12,2,1,1,145353.64,0
278,15761376,Dogan,751,Spain,Male,52,6,85784.39,2,1,1,49605.09,0
279,15581939,Garcia,473,Germany,Female,41,7,152358.59,1,1,1,80627.01,0
280,15586382,Onio,578,France,Female,42,0,187077.2,2,1,1,21930.02,0
281,15634659,Weber,700,France,Female,43,4,0.0,1,1,0,14513.77,0
282,15687360,Bianchi,640,France,Female,44,1,135323.46,1,1,0,141604.46,0
283,15733474,Kaya,632,France,Female,37,10,150442.74,1,1,0,21865.99,0
284,15688372,Ferri,537,France,Male,38,0,0.0,3,1,1,130903.24,0
285,15675988,Ferri,649,Germany,Male,32,1,148516.84,1,0,1,175312.32,0
286,15800147,Jones,746,France,Male,40,8,0.0,1,1,1,17778.39,0
287,15605953,Wagner,652,Germany,Male,37,1,0.0,1,1,1,43544.73,0
288,15708626,Greco,570,France,Female,39,2,0.0,2,0,0,8762.51,0
289,15701256,Smith,530,France,Female,24,6,157755.84,1,1,0,124658.15,0
290,15684068,Garcia,572,France,Male,30,6,110588.9,2,0,1,53513.94,0
291,15767591,Jones,688,Spain,Female,18,10,137957.95,1,0,1,116920.38,0
292,15632441,Onio,683,Spain,Female,36,9,105943.75,2,0,1,151666.04,0
293,15804133,Sahin,573,France,Male,26,9,0.0,2,1,1,73548.57,0
294,15648589,Pirozzi,438,France,Female,20,9,113366.69,1,0,0,31665.38,0
295,15701946,Cameron,690,Germany,Male,40,6,0.0,1,1,0,14870.46,0
296,15695863,Taylor,564,France,Female,27,9,111839.22,1,1,0,118050.19,0
297,15778136,Romano,716,Germany,Female,30,7,163674.87,1,1,0,13006.63,0
298,15675424,Pirozzi,577,Spain,Male,42,5,0.0,2,0,0,138238.57,0
299,15636837,Hooper,555,France,Male,48,10,0.0,2,1,0,11700.09,0
300,15571103,Brown,665,Germany,Female,32,1,0.0,1,1,1,56342.15,0
301,15656616,Demir,850,Germany,Female,52,4,0.0,2,1,0,160426.55,1
302,15772264,Schmidt,722,Germany,Male,56,3,159525.95,2,1,1,160358.45,0
303,15568179,Yildiz,663,France,Female,36,5,135156.54,2,1,0,56899.56,0
304,15789731,Sahin,684,Germany,Female,36,3,118147.29,1,1,1,97303.65,0
305,15701401,Rossi,482,France,Male,30,4,142345.14,2,1,0,122522.96,0
306,15600761,Moore,542,Germany,Male,39,10,0.0,1,1,0,114390.22,0
307,15641242,Schmidt,409,Germany,Male,48,8,0.0,2,1,1,176989.79,0
308,15704203,Arslan,816,France,Male,55,8,82313.61,1,0,0,106251.37,0
309,15644620,Celik,797,Spain,Male,27,3,65156.99,2,1,1,123102.97,0
310,15592843,Demir,688,Spain,Female,37,3,0.0,1,1,1,133723.66,1
311,15732190,Miller,663,Germany,Female,46,5,136937.61,1,1,1,76984.89,0
312,15733753,Yilmaz,501,Spain,Male,20,4,0.0,1,1,1,167984.46,0
313,15595418,Martin,629,Spain,Male,18,7,93956.47,1,1,0,32886.57,0
314,15636006,Jones,822,France,Male,36,2,0.0,1,1,1,142096.81,0
315,15626666,Chien,663,Germany,Female,27,1,0.0,2,1,0,31872.61,0
316,15730549,Romano,596,Germany,Female,26,4,134990.28,1,1,0,44723.42,0
317,15748266,Jones,481,Germany,Female,28,9,145008.42,1,1,1,159145.08,0
318,15747441,Moore,783,Spain,Male,28,0,127301.19,2,0,0,127645.38,0
319,15800380,Sahin,643,France,Female,42,0,89805.81,2,0,0,125191.31,1
320,15757854,Jones,481,France,Female,18,9,0.0,2,1,1,72133.07,0
321,15645867,Rossi,561,France,Male,41,4,131837.23,2,1,0,189364.11,0
322,15592635,Rossi,527,Spain,Male,33,5,142188.02,2,1,1,64599.14,0
323,15719354,Taylor,637,France,Male,23,8,93275.44,1,1,0,31402.33,0
324,15794693,Greco,670,France,Female,44,6,135402.17,1,1,0,67282.43,0
325,15809479,Hsia,602,France,Male,42,10,146052.27,2,1,1,29625.25,0
326,15623251,Yildiz,725,Germany,Male,29,2,0.0,2,1,1,195893.23,1
327,15624812,Kent,658,France,Male,18,9,101530.88,2,1,0,184973.4,0
328,15575053,Martin,752,France,Male,43,4,74366.75,3,0,0,154582.47,1
329,15601014,Bianchi,616,France,Female,54,1,95630.34,1,0,0,145999.77,0
330,15704408,Muller,850,France,Male,18,5,116892.12,2,0,1,16912.35,0
331,15702395,Jones,596,France,Male,26,5,76573.36,2,0,1,76873.47,0
332,15658427,Wagner,563,France,Female,18,1,153366.56,2,1,1,58510.72,0
333,15643186,Hsia,551,Germany,Female,47,5,153800.43,1,0,1,17258.69,0
334,15773139,Miller,630,France,Male,35,0,116088.42,2,0,0,168287.21,0
335,15680704,Brown,485,France,Male,32,7,100296.39,1,1,1,185994.76,0
336,15767754,Wagner,678,Germany,Male,46,6,118683.72,2,1,0,137368.55,1
337,15806493,Dogan,467,France,Male,30,1,0.0,2,0,1,36384.66,0
338,15644982,Celik,666,France,Female,46,6,138742.2,1,0,1,172899.8,0
339,15616383,Pirozzi,520,France,Female,24,2,66021.4,1,1,0,146299.25,1
340,15803915,Garcia,613,France,Male,36,7,0.0,1,1,1,16851.35,0
341,15724401,Muller,708,Germany,Male,49,2,0.0,2,0,0,138291.86,0
342,15638427,Weber,850,Spain,Male,21,9,118706.99,1,0,1,16763.01,0
